iso,country_name,region,region_name
abw,Aruba,XLM,Rest of Brazil
afg,Afghanistan,XSA,Rest of Asia
ago,Angola,XAF,Other Africa
alb,Albania,XER,Rest of Europe
are,United Arab Emirates,XME,Middle East
arg,Argentina,XLM,Rest of Brazil
arm,Armenia,CIS,Former USSR
asm,American Samoa,XSA,Rest of Asia
atg,Antigua & Barbuda,XLM,Rest of Brazil
aus,Australia,XOC,New Zealand and Australia
aut,Austria,XE25,EU
aze,Azerbaijan,CIS,Former USSR
bdi,Burundi,XAF,Other Africa
bel,Belgium,XE25,EU
ben,Benin,XAF,Other Africa
bfa,Burkina Faso,XAF,Other Africa
bgd,Bangladesh,XSA,Rest of Asia
bgr,Bulgaria,XER,Rest of Europe
bhr,Bahrain,XME,Middle East
bhs,Bahamas,XLM,Rest of Brazil
bih,Bosnia and Herzegovina,XER,Rest of Europe
blr,Belarus,CIS,Former USSR
blz,Belize,XLM,Rest of Brazil
bmu,Bermuda,XLM,Rest of Brazil
bol,Bolivia,XLM,Rest of Brazil
bra,Brazil,BRA,Brazil
brb,Barbados,XLM,Rest of Brazil
brn,Brunei Darussalam,XSA,Rest of Asia
btn,Bhutan,XSA,Rest of Asia
bwa,Botswana,XAF,Other Africa
caf,Central African Republic,XAF,Other Africa
can,Canada,CAN,Canada
che,Switzerland,XER,Rest of Europe
chl,Chile,XLM,Rest of Brazil
chn,China,CHN,China
civ,Cote dIvoire,XAF,Other Africa
cmr,Cameroon,XAF,Other Africa
cod,"Congo, the Democratic Republic of the",XAF,Other Africa
cog,Congo,XAF,Other Africa
cok,Cook Islands,XSA,Rest of Asia
col,Colombia,XLM,Rest of Brazil
com,Comoros,XAF,Other Africa
cpv,Cape Verde,XAF,Other Africa
cri,Costa Rica,XLM,Rest of Brazil
cub,Cuba,XLM,Rest of Brazil
cym,Cayman Islands,XLM,Rest of Brazil
cyp,Cyprus,XE25,EU
cze,Czech Republic,XE25,EU
deu,Germany,XE25,EU
dji,Djibouti,XAF,Other Africa
dma,Dominica,XLM,Rest of Brazil
dnk,Denmark,XE25,EU
dom,Dominican Republic,XLM,Rest of Brazil
dza,Algeria,XNF,North Africa
ecu,Ecuador,XLM,Rest of Brazil
egy,Egypt,XNF,North Africa
eri,Eritrea,XAF,Other Africa
esh,Western Sahara,XAF,Other Africa
esp,Spain,XE25,EU
est,Estonia,XE25,EU
eth,Ethiopia,XAF,Other Africa
fin,Finland,XE25,EU
fji,Fiji,XSA,Rest of Asia
flk,Falkland Islands (Malvinas),XLM,Rest of Brazil
fra,France,XE25,EU
fro,Faroe Islands,XER,Rest of Europe
fsm,"Micronesia, Federated States of",XSA,Rest of Asia
