model,variable,CEDS9,em,harm_status
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Aggregate - Agriculture and LUC|Harmonized,,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Aggregate - Agriculture and LUC|Unharmonized,,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Aggregate - Agriculture and LUC|Harmonized,,CH4,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Aggregate - Agriculture and LUC|Unharmonized,,CH4,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Aggregate - Agriculture and LUC|Harmonized,,CO,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Aggregate - Agriculture and LUC|Unharmonized,,CO,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Aggregate - Agriculture and LUC|Harmonized,,CO2,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Aggregate - Agriculture and LUC|Harmonized-DB,,CO2,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Aggregate - Agriculture and LUC|Unharmonized,,CO2,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Aggregate - Agriculture and LUC|Harmonized,,NH3,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Aggregate - Agriculture and LUC|Unharmonized,,NH3,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Aggregate - Agriculture and LUC|Harmonized,,NOx,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Aggregate - Agriculture and LUC|Unharmonized,,NOx,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Aggregate - Agriculture and LUC|Harmonized,,OC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Aggregate - Agriculture and LUC|Unharmonized,,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Aggregate - Agriculture and LUC|Harmonized,,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Aggregate - Agriculture and LUC|Unharmonized,,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Aggregate - Agriculture and LUC|Harmonized,,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Aggregate - Agriculture and LUC|Unharmonized,,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Agricultural Waste Burning|Harmonized,Agricultural Waste Burning,BC,Harmonized
